,id,name
1350,irish-banjo,irish banjo
1351,irish-country,irish country
1352,portuguese-indie-rock,portuguese indie rock
1353,brooklyn-drill,brooklyn drill
1354,italian-electronica,italian electronica
1355,neomelodici,neomelodici
1356,emo-trap-en-espanol,emo trap en espanol
1357,rap-underground-argentino,rap underground argentino
1358,german-metal,german metal
1359,industrial,industrial
1360,industrial-metal,industrial metal
1361,industrial-rock,industrial rock
1362,neue-deutsche-harte,neue deutsche harte
1363,austrian-indie,austrian indie
1364,boom-bap-brasileiro,boom bap brasileiro
1365,rap-uruguayo,rap uruguayo
1366,samba-de-roda,samba de roda
1367,tropicalia,tropicalia
1368,slovak-pop,slovak pop
1369,perth-indie,perth indie
1370,trap-metal-italiana,trap metal italiana
1371,fidget-house,fidget house
1372,british-alternative-rock,british alternative rock
1373,minnesota-hip-hop,minnesota hip hop
1374,chihuahua-indie,chihuahua indie
1375,indie-triste,indie triste
1376,mexican-indie,mexican indie
1377,circuit,circuit
1378,guaracha,guaracha
1379,nasheed,nasheed
1380,nasyid,nasyid
1381,cumbia-santafesina,cumbia santafesina
1382,progressive-trance,progressive trance
1383,uplifting-trance,uplifting trance
1384,maltese-pop,maltese pop
1385,musica-baiana,musica baiana
1386,icelandic-electronic,icelandic electronic
1387,icelandic-post-punk,icelandic post-punk
1388,icelandic-punk,icelandic punk
1389,australian-singer-songwriter,australian singer-songwriter
1390,russian-dance-pop,russian dance pop
1391,greek-indie,greek indie
1392,hip-hop-quebecois,hip hop quebecois
1393,indie-quebecois,indie quebecois
1394,electronica-argentina,electronica argentina
1395,christian-music,christian music
1396,worship,worship
1397,mambo-chileno,mambo chileno
1398,terrorcore,terrorcore
1399,malang-indie,malang indie
1400,strut,strut
1401,danish-post-punk,danish post-punk
1402,bangladeshi-hip-hop,bangladeshi hip hop
1403,country-rap,country rap
1404,argentine-reggae,argentine reggae
1405,chanson-virale,chanson virale
1406,rap-lyonnais,rap lyonnais
1407,trap-carioca,trap carioca
1408,belgian-singer-songwriter,belgian singer-songwriter
1409,ghent-indie,ghent indie
1410,rap-mineiro,rap mineiro
1411,indonesian-lo-fi-pop,indonesian lo-fi pop
1412,uk-house,uk house
1413,classic-peruvian-pop,classic peruvian pop
1414,musica-afroperuana,musica afroperuana
1415,musica-criolla,musica criolla
1416,rave-funk,rave funk
1417,malian-blues,malian blues
1418,wassoulou,wassoulou
1419,world,world
1420,kids-hip-hop,kids hip hop
1421,washington-indie,washington indie
1422,gospel-r-b,gospel r&b
1423,cumbia-peruana,cumbia peruana
1424,peruvian-indie,peruvian indie
1425,reggae-peruano,reggae peruano
1426,tecnobrega,tecnobrega
1427,progressive-metal,progressive metal
1428,swedish-underground-rap,swedish underground rap
1429,r-b-argentino,r&b argentino
1430,merida-indie,merida indie
1431,dutch-drill,dutch drill
1432,taiwan-rock,taiwan rock
1433,bomba,bomba
1434,estonian-hip-hop,estonian hip hop
1435,big-beat,big beat
1436,barnmusik,barnmusik
1437,garage-house,garage house
1438,antilliaanse-rap,antilliaanse rap
1439,birmingham-metal,birmingham metal
1440,north-east-england-indie,north east england indie
1441,hamburg-indie,hamburg indie
1442,boom-bap-espanol,boom bap espanol
1443,malaysian-tamil-pop,malaysian tamil pop
1444,bulgarian-hip-hop,bulgarian hip hop
1445,morna,morna
1446,drill-dominicano,drill dominicano
1447,afghan-rap,afghan rap
1448,finnish-folk,finnish folk
1449,canzone-d-autore,canzone d'autore
1450,acoustic-opm,acoustic opm
1451,polish-ambient,polish ambient
1452,norwegian-choir,norwegian choir
1453,hong-kong-hip-hop,hong kong hip hop
1454,desi-hip-hop,desi hip hop
1455,pakistani-hip-hop,pakistani hip hop
1456,punjabi-hip-hop,punjabi hip hop
1457,punjabi-pop,punjabi pop
1458,vlaamse-kinderliedje,vlaamse kinderliedje
1459,pittsburgh-indie,pittsburgh indie
1460,latintronica,latintronica
1461,greek-hip-hop,greek hip hop
1462,smooth-saxophone,smooth saxophone
1463,rhode-island-rap,rhode island rap
1464,mexican-classic-rock,mexican classic rock
1465,german-house,german house
1466,ska-chileno,ska chileno
1467,musica-andina,musica andina
1468,musica-andina-chilena,musica andina chilena
1469,musica-nublensina,musica nublensina
1470,czech-hip-hop,czech hip hop
1471,czsk-hip-hop,czsk hip hop
1472,trap-pesado,trap pesado
1473,chill-baile,chill baile
1474,liedermacher,liedermacher
1475,german-country,german country
1476,vogue,vogue
1477,finnish-jazz,finnish jazz
1478,piseiro,piseiro
1479,musica-costarricense,musica costarricense
1480,turkce-trap-metal,turkce trap metal
1481,samba-moderno,samba moderno
1482,jewish-pop,jewish pop
1483,cincinnati-rap,cincinnati rap
1484,folclor-colombiano,folclor colombiano
1485,musica-andina-colombiana,musica andina colombiana
1486,adoracao,adoracao
1487,musica-paranaense,musica paranaense
1488,rap-nacional-antigo,rap nacional antigo
1489,argentine-alternative-rock,argentine alternative rock
1490,bedroom-soul,bedroom soul
1491,austrian-hip-hop,austrian hip hop
1492,norwegian-gospel,norwegian gospel
1493,carnaval-limburg,carnaval limburg
1494,lo-fi-beats,lo-fi beats
1495,lo-fi-chill,lo-fi chill
1496,deep-underground-hip-hop,deep underground hip hop
1497,muzica-crestina,muzica crestina
1498,rap-boricua,rap boricua
1499,dutch-idol-pop,dutch idol pop
1500,kent-indie,kent indie
1501,new-york-drill,new york drill
1502,orlando-indie,orlando indie
1503,gothic-symphonic-metal,gothic symphonic metal
1504,opera-metal,opera metal
1505,power-metal,power metal
1506,indie-rockism,indie rockism
1507,bergamo-indie,bergamo indie
1508,musica-etnica,musica etnica
1509,australian-psych,australian psych
1510,neo-psychedelic,neo-psychedelic
1511,bubblegrunge,bubblegrunge
1512,uae-indie,uae indie
1513,deep-breakcore,deep breakcore
1514,cyber-metal,cyber metal
1515,swedish-folk-pop,swedish folk pop
1516,korean-ost,korean ost
1517,k-indie,k-indie
1518,groove-metal,groove metal
1519,huzunlu-sarkilar,huzunlu sarkilar
1520,musica-madeirense,musica madeirense
1521,bergen-indie,bergen indie
1522,chillwave,chillwave
1523,j-division,j-division
1524,psychedelic-soul,psychedelic soul
1525,pop-romantico,pop romantico
1526,reggae-maghreb,reggae maghreb
1527,minneapolis-sound,minneapolis sound
1528,k-rock,k-rock
1529,beats,beats
1530,trap-beats,trap beats
1531,lapland-hip-hop,lapland hip hop
1532,tecnobanda,tecnobanda
1533,copla,copla
1534,spanish-new-wave,spanish new wave
1535,cante-flamenco,cante flamenco
1536,popping,popping
1537,pop-folk,pop folk
1538,christian-alternative-rock,christian alternative rock
1539,world-worship,world worship
1540,icelandic-pop,icelandic pop
1541,sunnlensk-tonlist,sunnlensk tonlist
1542,relaxative,relaxative
1543,vintage-french-electronic,vintage french electronic
1544,dub,dub
1545,taiwan-graduation-song,taiwan graduation song
1546,campursari,campursari
1547,ghanaian-alternative,ghanaian alternative
1548,vintage-norwegian-pop,vintage norwegian pop
1549,norwegian-classical,norwegian classical
1550,eventyr,eventyr
1551,icelandic-choir,icelandic choir
1552,early-modern-classical,early modern classical
1553,swedish-classical,swedish classical
1554,classical-era,classical era
1555,danish-classical,danish classical
1556,early-romantic-era,early romantic era
1557,hamburg-electronic,hamburg electronic
1558,transpop,transpop
1559,jawaiian,jawaiian
1560,roda-de-samba,roda de samba
1561,indie-curitibano,indie curitibano
1562,belarusian-indie,belarusian indie
1563,indonesian-edm,indonesian edm
1564,dream-trance,dream trance
1565,bisaya-rap,bisaya rap
1566,dalarna-indie,dalarna indie
1567,swedish-garage-rock,swedish garage rock
1568,alberta-hip-hop,alberta hip hop
1569,flamenco-guitar,flamenco guitar
1570,tallava,tallava
1571,indonesian-emo,indonesian emo
1572,musiikkia-lapista,musiikkia lapista
1573,tin-pan-alley,tin pan alley
1574,eau-claire-indie,eau claire indie
1575,classic-greek-pop,classic greek pop
1576,indonesian-emo-rap,indonesian emo rap
1577,rap-underground-mexicano,rap underground mexicano
1578,belgian-new-wave,belgian new wave
1579,pinoy-idol-pop,pinoy idol pop
1580,tamil-pop,tamil pop
1581,vintage-chinese-pop,vintage chinese pop
1582,lo-fi-cover,lo-fi cover
1583,lo-fi-product,lo-fi product
1584,swedish-indie-folk,swedish indie folk
1585,emo-trap-italiana,emo trap italiana
1586,rap-baixada-fluminense,rap baixada fluminense
1587,modern-indie-pop,modern indie pop
1588,musica-popular-uruguaya,musica popular uruguaya
1589,korean-city-pop,korean city pop
1590,alternative-country,alternative country
1591,guinean-pop,guinean pop
1592,swiss-pop,swiss pop
1593,latin-viral-rap,latin viral rap
1594,rap-anime,rap anime
1595,classic-nz-pop,classic nz pop
1596,finnish-post-punk,finnish post-punk
1597,musique-comorienne,musique comorienne
1598,canadian-latin,canadian latin
1599,peruvian-hip-hop,peruvian hip hop
1600,aesthetic-rap,aesthetic rap
1601,drill-brasileiro,drill brasileiro
1602,funk-viral,funk viral
1603,nueva-trova-chilena,nueva trova chilena
1604,latin-funk,latin funk
1605,musica-nortena-chilena,musica nortena chilena
1606,deep-latin-alternative,deep latin alternative
1607,halloween,halloween
1608,comic-metal,comic metal
1609,idol-rock,idol rock
1610,j-metal,j-metal
1611,kawaii-metal,kawaii metal
1612,black-punk,black punk
1613,uk-diy-punk,uk diy punk
1614,ottawa-rap,ottawa rap
1615,anime-rock,anime rock
1616,j-pixie,j-pixie
1617,wave,wave
