,id,uri,name,popularity,genres
34,17lzZA2AlOHwCwFALHttmp,https://open.spotify.com/artist/17lzZA2AlOHwCwFALHttmp,2 Chainz,82,"atl-hip-hop,gangster-rap,hip-hop,pop-rap,rap,southern-hip-hop,trap"
35,5p7f24Rk5HkUZsaS3BLG5F,https://open.spotify.com/artist/5p7f24Rk5HkUZsaS3BLG5F,Hailee Steinfeld,76,"dance-pop,pop,post-teen-pop"
36,4lDBihdpMlOalxy1jkUbPl,https://open.spotify.com/artist/4lDBihdpMlOalxy1jkUbPl,Grey,72,pop-edm
37,2qxJFvFYMEDqd7ui6kSAcq,https://open.spotify.com/artist/2qxJFvFYMEDqd7ui6kSAcq,Zedd,80,"complextro,dance-pop,edm,electro-house,electropop,german-techno,pop,pop-dance,pop-rap,tropical-house"
38,6Dd3NScHWwnW6obMFbl1BH,https://open.spotify.com/artist/6Dd3NScHWwnW6obMFbl1BH,Daya,75,"alt-z,dance-pop,edm,electropop,indie-poptimism,pop,pop-dance,post-teen-pop,tropical-house"
39,66CXWjxzNUsdJxJ2JdwvnR,https://open.spotify.com/artist/66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,96,"dance-pop,pop"
40,0hCNtLu0JehylgoiP8L4Gh,https://open.spotify.com/artist/0hCNtLu0JehylgoiP8L4Gh,Nicki Minaj,90,"dance-pop,hip-pop,pop,pop-rap,queens-hip-hop"
41,7n2wHs1TKAczGzO7Dd2rGr,https://open.spotify.com/artist/7n2wHs1TKAczGzO7Dd2rGr,Shawn Mendes,89,"canadian-pop,dance-pop,pop,viral-pop"
42,60d24wfXkVzDSfLS6hyCjZ,https://open.spotify.com/artist/60d24wfXkVzDSfLS6hyCjZ,Martin Garrix,82,"dance-pop,dutch-edm,edm,electro-house,pop,pop-dance,progressive-house,tropical-house"
43,64M6ah0SkkRsnPGtGiRAbb,https://open.spotify.com/artist/64M6ah0SkkRsnPGtGiRAbb,Bebe Rexha,83,"dance-pop,edm,electropop,pop,post-teen-pop"
44,31TPClRtHm23RisEBtV3X7,https://open.spotify.com/artist/31TPClRtHm23RisEBtV3X7,Justin Timberlake,83,"dance-pop,pop"
45,1l8Fu6IkuTP0U5QetQJ5Xt,https://open.spotify.com/artist/1l8Fu6IkuTP0U5QetQJ5Xt,Fifth Harmony,74,"dance-pop,girl-group,pop,post-teen-pop,talent-show"
46,7c0XG5cIJTrrAgEC3ULPiq,https://open.spotify.com/artist/7c0XG5cIJTrrAgEC3ULPiq,Ty Dolla $ign,88,"hip-hop,pop,pop-rap,r-b,southern-hip-hop,trap,trap-soul"
47,3YQKmKGau1PzlVlkL1iodx,https://open.spotify.com/artist/3YQKmKGau1PzlVlkL1iodx,Twenty One Pilots,85,"modern-rock,rock"
48,5pKCCKE2ajJHZ9KAiaK11H,https://open.spotify.com/artist/5pKCCKE2ajJHZ9KAiaK11H,Rihanna,91,"barbadian-pop,dance-pop,pop,pop-rap,urban-contemporary"
49,7CajNmpbOovFoOoasH2HaY,https://open.spotify.com/artist/7CajNmpbOovFoOoasH2HaY,Calvin Harris,87,"dance-pop,edm,electro-house,house,pop,pop-rap,progressive-house,uk-dance"
50,4IWBUUAFIplrNtaOHcJPRM,https://open.spotify.com/artist/4IWBUUAFIplrNtaOHcJPRM,James Arthur,84,"pop,talent-show,uk-pop"
51,4N874uPqBka1QiCvnCVOtr,https://open.spotify.com/artist/4N874uPqBka1QiCvnCVOtr,Phoebe Ryan,61,"alt-z,electropop,indie-electropop,indie-poptimism"
52,50co4Is1HCEo8bhOyUWKpn,https://open.spotify.com/artist/50co4Is1HCEo8bhOyUWKpn,Young Thug,90,"atl-hip-hop,atl-trap,gangster-rap,hip-hop,melodic-rap,rap,trap"
53,0Y5tJX1MQlPlqiwlOH1tJY,https://open.spotify.com/artist/0Y5tJX1MQlPlqiwlOH1tJY,Travis Scott,93,"rap,slap-house"
54,4qBgvVog0wzW75IQ48mU7v,https://open.spotify.com/artist/4qBgvVog0wzW75IQ48mU7v,KYLE,73,"pop,pop-rap,rap,social-media-pop"
55,5WUlDfRSoLAfcVSX1WnrxN,https://open.spotify.com/artist/5WUlDfRSoLAfcVSX1WnrxN,Sia,91,"australian-dance,australian-pop,pop"
56,738wLrAtLtCtFOLvQBXOXp,https://open.spotify.com/artist/738wLrAtLtCtFOLvQBXOXp,Major Lazer,79,"dance-pop,edm,electro-house,moombahton,pop,pop-dance,pop-rap,tropical-house"
57,0bdfiayQAKewqEvaU6rXCv,https://open.spotify.com/artist/0bdfiayQAKewqEvaU6rXCv,MØ,74,"art-pop,dance-pop,danish-pop,electropop,indie-poptimism,pop,tropical-house"
58,7pFeBzX627ff0VnN6bxPR4,https://open.spotify.com/artist/7pFeBzX627ff0VnN6bxPR4,Desiigner,69,"pop-rap,rap,trap,viral-trap"
59,2wUjUUtkb5lvLKcGKsKqsR,https://open.spotify.com/artist/2wUjUUtkb5lvLKcGKsKqsR,Alessia Cara,81,"canadian-contemporary-r-b,canadian-pop,dance-pop,electropop,pop,post-teen-pop"
60,02A3cEvlLLCbIMVDrK2GHV,https://open.spotify.com/artist/02A3cEvlLLCbIMVDrK2GHV,Starley,60,"aussietronica,tropical-house"
61,33JQK4UoS2aMPYBfdB5Ftt,https://open.spotify.com/artist/33JQK4UoS2aMPYBfdB5Ftt,Ryan Riback,62,melbourne-bounce
62,4dpARuHxo51G3z768sgnrY,https://open.spotify.com/artist/4dpARuHxo51G3z768sgnrY,Adele,96,"british-soul,pop,pop-soul,uk-pop"
63,5y2Xq6xcjJb2jVM54GHK3t,https://open.spotify.com/artist/5y2Xq6xcjJb2jVM54GHK3t,John Legend,85,"neo-soul,pop,pop-soul,r-b,urban-contemporary"
64,7nKeLE1toRtW4M279iS26h,https://open.spotify.com/artist/7nKeLE1toRtW4M279iS26h,Zay Hilfigerrr,45,
65,5AsWcQXw4RJFRWBbwa0ti0,https://open.spotify.com/artist/5AsWcQXw4RJFRWBbwa0ti0,Zayion McCall,45,
66,2iE18Oxc8YSumAU232n4rW,https://open.spotify.com/artist/2iE18Oxc8YSumAU232n4rW,The Jackson 5,80,"adult-standards,motown"
67,6T5tfhQCknKG4UnH90qGnz,https://open.spotify.com/artist/6T5tfhQCknKG4UnH90qGnz,DNCE,71,"dance-pop,pop,post-teen-pop"
68,73sIBHcqh3Z3NyqHKZ7FOL,https://open.spotify.com/artist/73sIBHcqh3Z3NyqHKZ7FOL,Childish Gambino,81,"atl-hip-hop,hip-hop,pop,pop-rap,rap"
69,77AiFEVeAVj2ORpC85QVJs,https://open.spotify.com/artist/77AiFEVeAVj2ORpC85QVJs,Steve Aoki,79,"dance-pop,edm,electro-house,pop-dance,pop-rap,tropical-house"
70,57WHJIHrjOE3iAxpihhMnp,https://open.spotify.com/artist/57WHJIHrjOE3iAxpihhMnp,Louis Tomlinson,72,pop
71,3fMbdgg4jU18AjLCKBhRSm,https://open.spotify.com/artist/3fMbdgg4jU18AjLCKBhRSm,Michael Jackson,85,"pop,r-b,soul"
72,6MDME20pz9RveH9rEXvrOM,https://open.spotify.com/artist/6MDME20pz9RveH9rEXvrOM,Clean Bandit,81,"dance-pop,edm,pop,pop-dance,tropical-house,uk-dance,uk-funky"
73,3Isy6kedDrgPYoTS1dazA9,https://open.spotify.com/artist/3Isy6kedDrgPYoTS1dazA9,Sean Paul,84,"dance-pop,dancehall,pop,pop-rap"
74,1zNqDE7qDGCsyzJwohVaoX,https://open.spotify.com/artist/1zNqDE7qDGCsyzJwohVaoX,Anne-Marie,82,"dance-pop,pop,post-teen-pop,tropical-house,uk-pop"
75,3koiLjNrgRTNbOwViDipeA,https://open.spotify.com/artist/3koiLjNrgRTNbOwViDipeA,Marvin Gaye,77,"classic-soul,funk,indie-r-b,motown,northern-soul,quiet-storm,soul"
76,75jNCko3SnEMI5gwGqrbb8,https://open.spotify.com/artist/75jNCko3SnEMI5gwGqrbb8,Tammi Terrell,68,motown
77,137W8MRPWKqSmrBGDBFSop,https://open.spotify.com/artist/137W8MRPWKqSmrBGDBFSop,Wiz Khalifa,87,"dance-pop,hip-hop,pittsburgh-rap,pop-rap,rap,southern-hip-hop,trap"
78,53XhwfbYqKCa1cC15pYq2q,https://open.spotify.com/artist/53XhwfbYqKCa1cC15pYq2q,Imagine Dragons,93,"modern-rock,rock"
79,3NPpFNZtSTHheNBaWC82rB,https://open.spotify.com/artist/3NPpFNZtSTHheNBaWC82rB,X Ambassadors,77,"modern-alternative-rock,modern-rock,pop,pop-rap,pop-rock,rock,stomp-pop"
80,4xRYI6VqpkE3UwrDrAZL8L,https://open.spotify.com/artist/4xRYI6VqpkE3UwrDrAZL8L,Logic,82,"conscious-hip-hop,dmv-rap,hip-hop,pop-rap,rap"
81,0EmeFodog0BfCgMzAIvKQp,https://open.spotify.com/artist/0EmeFodog0BfCgMzAIvKQp,Shakira,86,"colombian-pop,dance-pop,latin,latin-pop,pop"
82,1r4hJ1h58CWwUQe3MxPuau,https://open.spotify.com/artist/1r4hJ1h58CWwUQe3MxPuau,Maluma,90,"latin,reggaeton,reggaeton-colombiano,trap-latino"
83,7gP3bB2nilZXLfPHJhMdvc,https://open.spotify.com/artist/7gP3bB2nilZXLfPHJhMdvc,Foster The People,77,"indietronica,modern-rock,rock"
84,02kJSzxNuaWGqwubyUba0Z,https://open.spotify.com/artist/02kJSzxNuaWGqwubyUba0Z,G-Eazy,82,"indie-pop-rap,oakland-hip-hop,pop,pop-rap,rap"
