,id,name,country
179,Q9207744,disco:wax,DK
180,Q1906958,Mascot Records,NL
181,Q2482872,Universal Records,US
182,Q10965540,Nexus Music,DK
183,Q7673590,Tabu Records,DK
184,Q557632,Decca,GB
185,Q1124849,Verve Records,US
186,Q57027012,Universal Music,US
187,Q1546001,Stax,US
188,Q340026,Ace Records,US
189,Q5086379,Charly Records,GB
190,Q1973145,Federal Records,US
191,Q3566715,Wati B,FR
192,Q2407338,Vale Music,ES
193,Q3505442,Monarc Entertainment,US
194,Q39058514,Butterfly MC Records,
195,Q1536003,Philips Records,NL
196,Q9004108,Hispavox,ES
197,Q7894020,Universal Music Latin Entertainment,US
198,Q2573393,Ultra Music,GB
199,Q56826329,Sony BMG Music Entertainment,
200,Q20966672,Sony Music Finland,FI
201,Q11862199,Helsinki Freedom Records,FI
202,Q20871899,Liiga Music,FI
203,Q666981,Rähinä Records,SO
204,Q11890138,Ratas Music Group,FI
205,Q10831860,Warner Music Finland,FI
206,Q11902587,Yellowmic Records,FI
207,Q4356071,Monsp Records,FI
208,Q6216391,Johanna Kustannus,FI
209,Q21143692,Smash the House,BE
210,Q13099454,2101 Records,US
211,Q27556842,Bonnier Amigo Music Group,
212,Q28032852,Seine Zoo Records,
213,Q3514539,Tallac Records,FR
214,Q898618,Sun Records,US
215,Q466649,American Recordings,US
216,Q52716606,Initial Artist Services,FR
217,Q732503,Sony Music Entertainment Japan,JP
218,Q20822757,[PIAS],FR
219,Q5465592,Fool's Gold Records,US
220,Q24248464,Barong Family,NL
221,Q12522364,Trinity Optima Production,ID
222,Q483938,SM Entertainment,KR
223,Q1988428,Avex Trax,JP
224,Q48815775,88rising,US
225,Q50595,YG Entertainment,KR
226,Q19740475,Sony BMG Music Entertainment Indonesia,ID
227,Q3980900,Tanta Roba,IT
228,Q3639016,Best Sound,IT
229,Q18353143,Newtopia,IT
230,Q3660623,Carosello,IT
231,Q21091,Cherrytree Records,US
232,Q946523,KonLive Distribution,US
233,Q106369984,Lizos Music,MX
234,Q6132299,Sonolux,CO
235,Q1765315,Beluga Heights Records,US
236,Q1081874,Slip-n-Slide Records,US
237,Q513712,Pony Canyon,JP
238,Q11196729,Def Jam Japan,
239,Q106296918,Big Hit Music,KR
240,Q62513113,Wilde Westen Records,NL
241,Q30594847,Believe Digital,FR
242,Q1358159,Polar,SE
243,Q78512988,Polar Music International AB,SE
244,Q56871938,Vogue,FR
245,Q1767094,Tonpress,PL
246,Q778792,RSO Records,GB
247,Q1636655,Melodiya,RU
248,Q49462460,CBS,NL
249,Q101486501,Dynamic Sounds Studio,JM
250,Q96761070,Carnaby Music,
251,Q323890,Amiga,DD
252,Q780223,Unidisc Music,CA
253,Q2537051,WEA,
254,Q700359,PolyGram,DE
255,Q18636329,PolyGram Polska,
256,Q1290388,Karussell,DE
257,Q2617185,Opus,
258,Q3707422,Dig-It,IT
259,Q1718083,K-tel,CA
260,Q603117,Castle Communications,GB
261,Q3126163,Hallmark Records,GB
262,Q7226016,"Polskie Nagrania ""Muza""",PL
263,Q105763636,Team Mariann Compilation,SE
264,Q3382510,Pickwick,US
265,Q7697852,Telstar,GB
266,Q2185711,Dino Entertainment,
267,Q2630076,Tower Records,US
268,Q3757844,Gallo Record Company,ZA
269,Q818134,PGP-RTB,YU
270,Q28736417,self-released,
271,Q4451213,Vene Music,US
272,Q7894019,Universal Music Enterprises,US
273,Q13546739,World Music Network,GB
274,Q4834989,BBC Transcription Services,
275,Q3648529,CAR Juke Box,IT
276,Q3415083,RCA Victor,
277,Q4994492,Playboy Records,US
278,Q108779219,United States Department of Defense,
279,Q4851113,Balkanton,BG
